title1,title2,address1,address2,ngram_similarity,shingle_similarity,combined_similarity
Maxines ,Allegro ,243 Camac,1412 Spruce ,1.0,0.0,0.25
Maxines ,Attic ,243 Camac,5710 Germantown ,1.0,0.0,0.25
Maxines ,Attic ,243 Camac,5710 Germantown,1.0,0.0,0.25
Maxines ,Buddy's,243 Camac,13th & Commerce,1.0,0.0,0.25
Maxines ,Dewey's,243 Camac,17th & Chancellor,1.0,0.0,0.25
Maxines ,Deweys,243 Camac,Chancelor at 17th St.,1.0,0.0,0.25
Maxines ,Midway ,243 Camac,256 S. 12th St. ,1.0,0.0,0.25
Maxines ,Midway ,243 Camac,256 S. 12th St. ,1.0,0.0,0.25
Maxines ,Mystique,243 Camac,1418 Spruce ,1.0,0.0,0.25
Maxines ,Mystique ,243 Camac,1418 Spruce ,1.0,0.0,0.25
Maxines ,USAA ,243 Camac,204 S. Quine ,1.0,0.0,0.25
Midway,Rusty's,256 S. 12th St. ,Quince & Walnut,1.0,0.0,0.25
Midway,Two-Forty-Seven ,256 S. 12th St. ,247 17th St. ,1.0,0.0,0.25
Midway,Allegro ,256 S. 12th St. ,1412 Spruce ,1.0,0.0,0.25
Midway,Attic ,256 S. 12th St. ,5710 Germantown ,1.0,0.0,0.25
Midway,Maxine's ,256 S. 12th St. ,243 Camac,1.0,0.0,0.25
Midway,Mystique ,256 S. 12th St. ,1418 Spruce ,1.0,0.0,0.25
Midway,Rusty's,256 S. 12th St. ,Quince & Walnut,1.0,0.0,0.25
Midway,Allegro ,256 S. 12th St. ,1412 Spruce ,1.0,0.0,0.25
Midway,Allegro ,256 S. 12th St. ,1412 Spruce ,1.0,0.0,0.25
Midway,Attic ,256 S. 12th St. ,5710 Germantown ,1.0,0.0,0.25
Midway,Attic ,256 S. 12th St. ,5710 Germantown,1.0,0.0,0.25
Midway,Buddy's,256 S. 12th St. ,13th & Commerce,1.0,0.0,0.25
Midway,Dewey's,256 S. 12th St. ,17th & Chancellor,1.0,0.0,0.25
Midway,Deweys,256 S. 12th St. ,Chancelor at 17th St.,1.0,0.0,0.25
Midway,Maxine's ,256 S. 12th St. ,243 Camac ,1.0,0.0,0.25
Midway,Maxine's ,256 S. 12th St. ,243 Camac ,1.0,0.0,0.25
Midway,Mystique,256 S. 12th St. ,1418 Spruce ,1.0,0.0,0.25
Midway,Mystique ,256 S. 12th St. ,1418 Spruce ,1.0,0.0,0.25
Midway,USAA ,256 S. 12th St. ,204 S. Quine ,1.0,0.0,0.25
P.B.L. Club ,V.I.P. Club,204 S. Quince ,,0.0,0.3333333333333333,0.25
P.B.L. Club ,V.I.P Club,204 S. Quince ,,0.0,0.3333333333333333,0.25
Rusty's,Two-Forty-Seven ,Quince & Walnut,247 17th St. ,1.0,0.0,0.25
Rusty's,Allegro ,Quince & Walnut,1412 Spruce ,1.0,0.0,0.25
Rusty's,Attic ,Quince & Walnut,5710 Germantown ,1.0,0.0,0.25
Rusty's,Maxine's ,Quince & Walnut,243 Camac,1.0,0.0,0.25
Rusty's,Midway ,Quince & Walnut,256 S. 12th St. ,1.0,0.0,0.25
Rusty's,Mystique ,Quince & Walnut,1418 Spruce ,1.0,0.0,0.25
Rusty's,Allegro ,Quince & Walnut,1412 Spruce ,1.0,0.0,0.25
Rusty's,Allegro ,Quince & Walnut,1412 Spruce ,1.0,0.0,0.25
Rusty's,Attic ,Quince & Walnut,5710 Germantown ,1.0,0.0,0.25
Rusty's,Attic ,Quince & Walnut,5710 Germantown,1.0,0.0,0.25
Rusty's,Buddy's,Quince & Walnut,13th & Commerce,1.0,0.0,0.25
Rusty's,Dewey's,Quince & Walnut,17th & Chancellor,1.0,0.0,0.25
Rusty's,Deweys,Quince & Walnut,Chancelor at 17th St.,1.0,0.0,0.25
Rusty's,Maxine's ,Quince & Walnut,243 Camac ,1.0,0.0,0.25
Rusty's,Maxine's ,Quince & Walnut,243 Camac ,1.0,0.0,0.25
Rusty's,Midway ,Quince & Walnut,256 S. 12th St. ,1.0,0.0,0.25
Rusty's,Midway ,Quince & Walnut,256 S. 12th St. ,1.0,0.0,0.25
Rusty's,Mystique,Quince & Walnut,1418 Spruce ,1.0,0.0,0.25
Rusty's,Mystique ,Quince & Walnut,1418 Spruce ,1.0,0.0,0.25
Rusty's,USAA ,Quince & Walnut,204 S. Quine ,1.0,0.0,0.25
Two-Forty-Seven ,Allegro ,247 17th St. ,1412 Spruce ,1.0,0.0,0.25
Two-Forty-Seven ,Attic ,247 17th St. ,5710 Germantown ,1.0,0.0,0.25
Two-Forty-Seven ,Maxine's ,247 17th St. ,243 Camac,1.0,0.0,0.25
Two-Forty-Seven ,Midway ,247 17th St. ,256 S. 12th St. ,1.0,0.0,0.25
Two-Forty-Seven ,Mystique ,247 17th St. ,1418 Spruce ,1.0,0.0,0.25
Two-Forty-Seven ,Rusty's,247 17th St. ,Quince & Walnut,1.0,0.0,0.25
Two-Forty-Seven ,Allegro ,247 17th St. ,1412 Spruce ,1.0,0.0,0.25
Two-Forty-Seven ,Allegro ,247 17th St. ,1412 Spruce ,1.0,0.0,0.25
Two-Forty-Seven ,Attic ,247 17th St. ,5710 Germantown ,1.0,0.0,0.25
Two-Forty-Seven ,Attic ,247 17th St. ,5710 Germantown,1.0,0.0,0.25
Two-Forty-Seven ,Buddy's,247 17th St. ,13th & Commerce,1.0,0.0,0.25
Two-Forty-Seven ,Dewey's,247 17th St. ,17th & Chancellor,1.0,0.0,0.25
Two-Forty-Seven ,Deweys,247 17th St. ,Chancelor at 17th St.,1.0,0.0,0.25
Two-Forty-Seven ,Maxine's ,247 17th St. ,243 Camac ,1.0,0.0,0.25
Two-Forty-Seven ,Maxine's ,247 17th St. ,243 Camac ,1.0,0.0,0.25
Two-Forty-Seven ,Midway ,247 17th St. ,256 S. 12th St. ,1.0,0.0,0.25
Two-Forty-Seven ,Midway ,247 17th St. ,256 S. 12th St. ,1.0,0.0,0.25
Two-Forty-Seven ,Mystique,247 17th St. ,1418 Spruce ,1.0,0.0,0.25
Two-Forty-Seven ,Mystique ,247 17th St. ,1418 Spruce ,1.0,0.0,0.25
Two-Forty-Seven ,USAA ,247 17th St. ,204 S. Quine ,1.0,0.0,0.25
V.I.P. Club,P.B.L Club ,,204 S. Quince ,0.0,0.3333333333333333,0.25
V.I.P. Club,PBL Club ,,204 Quince ,0.0,0.3333333333333333,0.25
Allegro ,Attic ,1412 Spruce ,5710 Germantown ,1.0,0.0,0.25
Allegro ,Maxine's ,1412 Spruce ,243 Camac,1.0,0.0,0.25
Allegro ,Midway ,1412 Spruce ,256 S. 12th St. ,1.0,0.0,0.25
Allegro ,Mystique ,1412 Spruce ,1418 Spruce ,1.0,0.0,0.25
Allegro ,Rusty's,1412 Spruce ,Quince & Walnut,1.0,0.0,0.25
Allegro ,Attic ,1412 Spruce ,5710 Germantown ,1.0,0.0,0.25
Allegro ,Attic ,1412 Spruce ,5710 Germantown,1.0,0.0,0.25
Allegro ,Buddy's,1412 Spruce ,13th & Commerce,1.0,0.0,0.25
Allegro ,Dewey's,1412 Spruce ,17th & Chancellor,1.0,0.0,0.25
Allegro ,Deweys,1412 Spruce ,Chancelor at 17th St.,1.0,0.0,0.25
Allegro ,Maxine's ,1412 Spruce ,243 Camac ,1.0,0.0,0.25
Allegro ,Maxine's ,1412 Spruce ,243 Camac ,1.0,0.0,0.25
Allegro ,Midway ,1412 Spruce ,256 S. 12th St. ,1.0,0.0,0.25
Allegro ,Midway ,1412 Spruce ,256 S. 12th St. ,1.0,0.0,0.25
Allegro ,Mystique,1412 Spruce ,1418 Spruce ,1.0,0.0,0.25
Allegro ,Mystique ,1412 Spruce ,1418 Spruce ,1.0,0.0,0.25
Allegro ,USAA ,1412 Spruce ,204 S. Quine ,1.0,0.0,0.25
Attic ,Maxine's ,5710 Germantown ,243 Camac,1.0,0.0,0.25
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,1.0,0.0,0.25
Attic ,Mystique ,5710 Germantown ,1418 Spruce ,1.0,0.0,0.25
Attic ,Rusty's,5710 Germantown ,Quince & Walnut,1.0,0.0,0.25
Attic ,Allegro ,5710 Germantown ,1412 Spruce ,1.0,0.0,0.25
Attic ,Allegro ,5710 Germantown ,1412 Spruce ,1.0,0.0,0.25
Attic ,Buddy's,5710 Germantown ,13th & Commerce,1.0,0.0,0.25
Attic ,Dewey's,5710 Germantown ,17th & Chancellor,1.0,0.0,0.25
Attic ,Deweys,5710 Germantown ,Chancelor at 17th St.,1.0,0.0,0.25
Attic ,Maxine's ,5710 Germantown ,243 Camac ,1.0,0.0,0.25
Attic ,Maxine's ,5710 Germantown ,243 Camac ,1.0,0.0,0.25
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,1.0,0.0,0.25
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,1.0,0.0,0.25
Attic ,Mystique,5710 Germantown ,1418 Spruce ,1.0,0.0,0.25
Attic ,Mystique ,5710 Germantown ,1418 Spruce ,1.0,0.0,0.25
Attic ,USAA ,5710 Germantown ,204 S. Quine ,1.0,0.0,0.25
Maxine's ,Midway ,243 Camac,256 S. 12th St. ,1.0,0.0,0.25
Maxine's ,Mystique ,243 Camac,1418 Spruce ,1.0,0.0,0.25
Maxine's ,Rusty's,243 Camac,Quince & Walnut,1.0,0.0,0.25
Maxine's ,Allegro ,243 Camac,1412 Spruce ,1.0,0.0,0.25
Maxine's ,Allegro ,243 Camac,1412 Spruce ,1.0,0.0,0.25
Maxine's ,Attic ,243 Camac,5710 Germantown ,1.0,0.0,0.25
Maxine's ,Attic ,243 Camac,5710 Germantown,1.0,0.0,0.25
Maxine's ,Buddy's,243 Camac,13th & Commerce,1.0,0.0,0.25
Maxine's ,Dewey's,243 Camac,17th & Chancellor,1.0,0.0,0.25
Maxine's ,Deweys,243 Camac,Chancelor at 17th St.,1.0,0.0,0.25
Maxine's ,Midway ,243 Camac,256 S. 12th St. ,1.0,0.0,0.25
Maxine's ,Midway ,243 Camac,256 S. 12th St. ,1.0,0.0,0.25
Maxine's ,Mystique,243 Camac,1418 Spruce ,1.0,0.0,0.25
Maxine's ,Mystique ,243 Camac,1418 Spruce ,1.0,0.0,0.25
Maxine's ,USAA ,243 Camac,204 S. Quine ,1.0,0.0,0.25
Midway ,Mystique ,256 S. 12th St. ,1418 Spruce ,1.0,0.0,0.25
Midway ,Rusty's,256 S. 12th St. ,Quince & Walnut,1.0,0.0,0.25
Midway ,Allegro ,256 S. 12th St. ,1412 Spruce ,1.0,0.0,0.25
Midway ,Allegro ,256 S. 12th St. ,1412 Spruce ,1.0,0.0,0.25
Midway ,Attic ,256 S. 12th St. ,5710 Germantown ,1.0,0.0,0.25
Midway ,Attic ,256 S. 12th St. ,5710 Germantown,1.0,0.0,0.25
Midway ,Buddy's,256 S. 12th St. ,13th & Commerce,1.0,0.0,0.25
Midway ,Dewey's,256 S. 12th St. ,17th & Chancellor,1.0,0.0,0.25
Midway ,Deweys,256 S. 12th St. ,Chancelor at 17th St.,1.0,0.0,0.25
Midway ,Maxine's ,256 S. 12th St. ,243 Camac ,1.0,0.0,0.25
Midway ,Maxine's ,256 S. 12th St. ,243 Camac ,1.0,0.0,0.25
Midway ,Mystique,256 S. 12th St. ,1418 Spruce ,1.0,0.0,0.25
Midway ,Mystique ,256 S. 12th St. ,1418 Spruce ,1.0,0.0,0.25
Midway ,USAA ,256 S. 12th St. ,204 S. Quine ,1.0,0.0,0.25
Mystique ,Rusty's,1418 Spruce ,Quince & Walnut,1.0,0.0,0.25
